operating_point,case,stable,psi_s_rms_wb,psi_r_rms_wb,is_rms_a,ir_rms_a,psi_s_rel_pct,psi_r_rel_pct,is_rel_pct,ir_rel_pct,psi_r_conv_time_ms,is_conv_time_ms,max_abs_flux_wb
5000rpm_-220Nm,rr_-5pct,True,8.276746055414302e-05,0.00011938451901016677,0.39633626292629737,0.8019289125411107,0.05901219745153425,0.11021828537709441,0.049703777197815956,0.23689658747271394,2.8299999999999996,3.88,0.19938818964089508
5000rpm_-220Nm,rr_+5pct,True,8.276449236770478e-05,0.00011932077882982377,0.39633626292639224,0.8013259385421733,0.05901008117053453,0.1101594391092091,0.04970377719782785,0.23671846385047118,2.7999999999999994,3.6,0.19935204442656784
5000rpm_-220Nm,rr_+10pct,True,0.00016552579420107217,0.00023857750974666522,0.7926725258525947,1.602047311334359,0.11801788752870883,0.22025974784532273,0.09940755439563191,0.47325833386196836,2.7999999999999994,3.5399999999999996,0.1993337280598955
5000rpm_-220Nm,rr_+20pct,True,0.0003310379371146385,0.0004768975989042316,1.5853450517053032,3.2016700140878234,0.2360260418546787,0.4402818396177603,0.1988151087912781,0.9458004178297273,2.8099999999999996,nan,0.1992966081692234
5000rpm_-220Nm,lm_-20pct,True,0.0007963838519461935,0.006039325496371484,3.8986183512015224,163.12622450269123,0.5678120459853802,5.575631636020985,0.4889183151617687,48.1888672520138,nan,nan,0.19943984507512336
5000rpm_-220Nm,lm_-10pct,True,0.0003638971574803558,0.0026843080327217032,1.7601084057336571,72.73807626177201,0.2594542682052589,2.4782093293465643,0.22073184875050728,21.487443308586844,nan,nan,0.19849613272196764
5000rpm_-220Nm,lm_-5pct,True,0.0001744365809433645,0.0012715487936767922,0.8393217419204817,34.50414746257148,0.12437117060836404,1.1739204460876023,0.10525774389071277,10.19281716834153,nan,3.6599999999999997,0.1981126211334316
5000rpm_-220Nm,lm_+5pct,True,0.0001611312229558467,0.0011505048944931372,0.768210020491704,31.29696382798803,0.11488461142839357,1.0621701862214619,0.09633975810775047,9.245387980355737,nan,4.15,0.2005490889864612
5000rpm_-220Nm,lm_+10pct,True,0.00031042325955707423,0.0021964665822754564,1.47397846422844,59.815762160482564,0.22132802630265022,2.0278238970487545,0.18484883679193687,17.670082361784633,nan,nan,0.20164127376306185
5000rpm_-220Nm,lm_+20pct,True,0.0005783512157704946,0.004027015502370037,2.726353696212003,109.882655134923,0.41235741573896717,3.7178249536726424,0.34190683355200036,32.46026626153086,nan,nan,0.20360116178831755
5000rpm_-220Nm,lls_-20pct,True,0.00024054894359142693,0.00807649374674962,1.296495176057139,39.303645762169054,0.17150848486754375,7.456387980670765,0.16259099506312547,11.610629584099106,nan,nan,0.19590411024604765
5000rpm_-220Nm,lls_-10pct,True,0.00012027447179542371,0.004038246873375119,0.6099642835114973,19.667525117472913,0.08575424243356528,3.7281939903356687,0.07649446109834959,5.80995336556639,nan,3.9499999999999997,0.19702187834089108
5000rpm_-220Nm,lls_-5pct,True,6.0137235897444276e-05,0.0020191234366877648,0.2962348294674693,9.837356063424842,0.04287712121659185,1.8640969951680235,0.0371502467459612,2.906038234479901,nan,3.7799999999999994,0.19819217478457957
5000rpm_-220Nm,lls_+5pct,True,6.013723589859276e-05,0.0020191234366866715,0.28016385112438547,9.84396755127604,0.04287712121741071,1.8640969951670143,0.035134815906961464,2.9079913239440316,nan,3.6699999999999995,0.20054950803537985
5000rpm_-220Nm,lls_+10pct,True,0.0001202744717955776,0.004038246873374886,0.5455299815775936,19.69403089429877,0.085754242433675,3.7281939903354533,0.06841387779877119,5.817783396358598,nan,3.6699999999999995,0.20172952861999363
5000rpm_-220Nm,lls_+20pct,True,0.00024054894359253808,0.0080764937467485,1.0363233394208917,39.410636979137344,0.17150848486833598,7.456387980669733,0.12996333968323068,11.642235695056032,nan,nan,0.2040916530404665
5000rpm_-220Nm,llr_-20pct,True,4.522078957702871e-05,0.002804022560781904,0.2336556067580976,0.4549288110912042,0.0322418755579462,2.588732285982171,0.029302305404955188,0.13438982084961348,nan,3.8299999999999996,0.20027440334488772
5000rpm_-220Nm,llr_-10pct,True,2.2133331928429153e-05,0.0014020001443013613,0.10992834944244124,0.21824914809167845,0.015780797734713494,1.2943558619202173,0.013785905301899699,0.06447264538438137,nan,3.7599999999999993,0.19981156428806351
5000rpm_-220Nm,llr_-5pct,True,1.0951134789522552e-05,0.0007009973756813241,0.05338772569342609,0.10699585535816512,0.00780802653833895,0.6471754415231907,0.006695253175603623,0.03160748117654881,2.6699999999999995,3.73,0.1995882894938677
5000rpm_-220Nm,llr_+5pct,True,1.072715976162828e-05,0.0007009921488631515,0.050491398529049554,0.10304178007702107,0.00764833505473153,0.6471706160153131,0.006332030292571788,0.030439413875240212,3.1999999999999997,3.6799999999999997,0.19915711625351606
5000rpm_-220Nm,llr_+10pct,True,2.1237144950772793e-05,0.0014019792302769416,0.09831593761640534,0.2024014194922347,0.015141827268241889,1.2943365536553686,0.012329614812937036,0.059791092237101,nan,3.6499999999999995,0.19939209641983185
5000rpm_-220Nm,llr_+20pct,True,4.163144443598268e-05,0.0028039387964922165,0.18676718829315622,0.39102888063992425,0.029682715922420687,2.5886549530376506,0.02342211799204417,0.11551324061049416,nan,3.6099999999999994,0.20103260437970075
5000rpm_-220Nm,voltage_gain_+5pct,True,0.006727851085940026,0.008419516030041554,1.2008243708999649,41.03482315874131,4.796876381730893,7.773073328352681,0.15059310128283285,12.122034037965634,nan,nan,0.20238063359959801
5000rpm_-220Nm,voltage_gain_-5pct,True,0.006727851085939386,0.008419516030040763,1.200824370900618,41.03482315873765,4.796876381730437,7.773073328351952,0.15059310128291475,12.122034037964553,nan,nan,0.19644195312741514
5000rpm_-220Nm,voltage_offset_+1Vd_-1Vq,True,0.0006600738625952767,0.0008260442147338973,0.11781366303735243,4.0259532913716916,0.4706246736492335,0.7626212992145586,0.014774787487856168,1.1893006738319858,2.55,3.75,0.19932337316578522
5000rpm_-220Nm,current_gain_+1pct,True,5.814449280455072e-05,0.0006889575305259515,7.917837645714961,9.676524835116323,0.041456319514078716,0.6360600046119956,0.9929609653312997,2.8585273285261517,2.8899999999999997,nan,0.19980350534689675
5000rpm_-220Nm,current_gain_-1pct,True,5.8144492804129865e-05,0.000688957530526278,7.917837645713084,9.676524835116405,0.04145631951377865,0.6360600046122971,0.9929609653310644,2.858527328526176,2.9699999999999998,nan,0.1989369713562916
5000rpm_-220Nm,current_offset_+1Ad_-1Aq,True,1.0312148729746645e-05,0.0001221892595554996,1.4042588640798843,1.7161687800621164,0.007352437212826096,0.11280768052143365,0.17610543429195155,0.5069707815318157,2.8199999999999994,nan,0.19944027323498564
5000rpm_-220Nm,current_noise_1Arms,True,1.7850806533319857e-05,1.7729904149157964e-05,0.2652544537566339,0.2647215179928591,0.012727408969184317,0.016368618405657828,0.033265056729618075,0.07820097674791103,2.8099999999999996,3.6599999999999997,0.1993826625710021
1000rpm_-220Nm,nominal,True,2.1775540210861263e-15,2.7455205344144325e-15,4.575015743836055e-13,1.3546895311368113e-11,1.5525696571257742e-12,2.5347219914249747e-12,5.737440261690457e-14,4.001867522077502e-12,3.53,3.6899999999999995,0.5259978241195974
1000rpm_-220Nm,rs_-20pct,True,0.002807008941770705,0.0035339198769071007,0.10123718125425892,17.396631921751297,2.0013633958436503,3.262588757086362,0.01269596242353508,5.139112297027292,nan,3.73,0.5251430238287336
1000rpm_-220Nm,rs_-10pct,True,0.0014035044708842184,0.0017669599384521264,0.05061859062709763,8.698315960868703,1.0006816979210167,1.6312943785418665,0.0063479812117635485,2.569556148511594,nan,3.71,0.5255704177887901
1000rpm_-220Nm,rs_-5pct,True,0.0007017522354436182,0.0008834799692279574,0.02530929531359518,4.349157980443626,0.5003408489615842,0.815647189272682,0.003173990605887589,1.2847780742585369,3.26,3.6999999999999997,0.5257841194097359
1000rpm_-220Nm,rs_+5pct,True,0.0007017522354436074,0.0008834799692279539,0.025309295313451795,4.349157980443644,0.5003408489615765,0.8156471892726788,0.003173990605869607,1.2847780742585424,4.289999999999999,3.6799999999999997,0.5262115319146095
1000rpm_-220Nm,rs_+10pct,True,0.001403504470883995,0.0017669599384518677,0.050618590626818095,8.698315960867465,1.0006816979208573,1.6312943785416276,0.006347981211728492,2.569556148511228,nan,3.6699999999999995,0.5264252427910202
1000rpm_-220Nm,rs_+20pct,True,0.0028070089417679945,0.0035339198769037054,0.10123718125389318,17.39663192173461,2.001363395841718,3.2625887570832277,0.012695962423489214,5.139112297022362,nan,3.6499999999999995,0.5268526737730268
1000rpm_-220Nm,rr_-20pct,True,0.001051334163893222,0.0013519850829115275,0.30166653848533026,6.894359388106932,0.749588532157822,1.2481809109707718,0.03783142704683445,2.0366521100699995,nan,3.8299999999999996,0.5271006668609187
1000rpm_-220Nm,rr_-10pct,True,0.0005252690793325052,0.000675442900229687,0.1508332692427589,3.4440877162775045,0.37451049503298794,0.6235830152074251,0.01891571352342898,1.0174126586326357,3.55,3.75,0.5265710696221775
1000rpm_-220Nm,rr_-5pct,True,0.0002625264492539554,0.00033757300994947763,0.0754166346213015,1.721214845744577,0.18717818036099115,0.3116544645377994,0.009457856761704717,0.5084614320391635,3.5199999999999996,3.7199999999999998,0.526289879958187
1000rpm_-220Nm,rr_+5pct,True,0.00026229319574368095,0.00033725421033797755,0.07541663462143335,1.7194455241903477,0.18701187343176534,0.3113601420674343,0.009457856761721251,0.5079387594783118,3.59,3.6599999999999997,0.525694950590696
1000rpm_-220Nm,rr_+10pct,True,0.0005243361572133719,0.0006741678224130914,0.15083326924276894,3.437011063361809,0.3738453328553326,0.6224058366935545,0.01891571352343024,1.0153221554717697,3.7199999999999998,3.6299999999999994,0.525381309900041
1000rpm_-220Nm,rr_+20pct,True,0.0010476039454052235,0.0013468867007325935,0.301666538485394,6.866062904232792,0.7469289315312311,1.243473977889177,0.03783142704684244,2.0282930892610116,nan,3.58,0.5247219392104917
1000rpm_-220Nm,lm_-20pct,True,0.00252053158828976,0.006156482015075499,0.7418465157585624,160.72640770204904,1.7971085107013,5.683792984907488,0.09303356110287701,47.479941059503126,nan,3.7199999999999998,0.5274264625698434
1000rpm_-220Nm,lm_-10pct,True,0.0011528656975148535,0.0027504078067480697,0.33492129019227534,71.81153860997696,0.8219792865620524,2.5392340234811455,0.04200184223268399,21.213736244977195,nan,3.6599999999999997,0.5266256547799777
1000rpm_-220Nm,lm_-5pct,True,0.0005528587624511617,0.0013057796664514283,0.1597098904672056,34.09348271104842,0.39418160511565586,1.2055231039151264,0.02002891371447824,10.071503325294136,nan,3.6699999999999995,0.5262939615352721
1000rpm_-220Nm,lm_+5pct,True,0.0005110355848504703,0.0011861667685764583,0.14617843444382922,30.969478654145956,0.3643621857677822,1.0950939743925459,0.018331959541316917,9.148646088502383,nan,3.71,0.5257316069197754
1000rpm_-220Nm,lm_+10pct,True,0.0009848032189987892,0.0022685407142673504,0.28047520672377485,59.22707473462931,0.7021527738240368,2.0943642434358134,0.03517386242071489,17.496179114137796,nan,3.75,0.5254908187455216
1000rpm_-220Nm,lm_+20pct,True,0.0018356823170252504,0.004172307790955174,0.5187827604705132,108.92089229092045,1.3088192705842479,3.8519618338907886,0.06505955965298424,32.176153378032986,nan,3.84,0.5250717054063042
1000rpm_-220Nm,lls_-20pct,True,0.0007626691871759573,0.007651299797387736,0.24670289379809587,37.655320390065164,0.543773898129775,7.063840031908741,0.03093854086643909,11.123700319435482,nan,3.7999999999999994,0.5071800570073708
1000rpm_-220Nm,lls_-10pct,True,0.00038133459358801966,0.0038256498986945484,0.11606672869649667,18.83035381332733,0.2718869490649167,3.5319200159549986,0.014555707773534746,5.5626458773580465,nan,3.73,0.5165814336564242
1000rpm_-220Nm,lls_-5pct,True,0.0001906672967937469,0.001912824949346593,0.05636888669009886,9.415792599742918,0.13594347453227087,1.7659600079768702,0.007069114908253089,2.7815048196252325,nan,3.71,0.5212878029818091
1000rpm_-220Nm,lls_+5pct,True,0.00019066729679387636,0.0019128249493459745,0.05331082913872256,9.41692415800259,0.1359434745323632,1.7659600079762994,0.006685609724878103,2.781839091511494,nan,3.6699999999999995,0.530711399841169
