method,operating_point,case,stable,psi_r_rms_wb,psi_r_rel_pct,is_rms_a,is_rel_pct,psi_r_conv_time_ms,is_conv_time_ms
D1_kubota_k1p2_t_type,5000rpm_+220Nm,current_gain_+1pct,True,0.001068037857830695,0.9860348928314511,13.042760337686639,1.6356677763534337,38.919999999999995,nan
C_sled23_t_type,5000rpm_+220Nm,current_gain_+1pct,True,0.0004440725921537464,0.4099771067133045,6.587571718624531,0.8261348445878522,7.42,nan
A_four_pole_sylvester,5000rpm_+220Nm,current_gain_+1pct,True,0.0007078684746877514,0.6535189838637198,8.055488262888586,1.010223467522304,2.5799999999999996,nan
B_hori53_paper,5000rpm_+220Nm,current_gain_+1pct,True,0.0007342138894101833,0.6778416218600885,7.973966673577201,0.9999999999999835,1.55,nan
D1_kubota_k1p2_t_type,5000rpm_+220Nm,current_gain_-1pct,True,0.0010726999996281052,0.9903390796670296,13.060422671734255,1.637882776085768,14.84,nan
C_sled23_t_type,5000rpm_+220Nm,current_gain_-1pct,True,0.0004451576502187276,0.4109788550174262,6.589806447438875,0.8264150976796728,5.97,nan
A_four_pole_sylvester,5000rpm_+220Nm,current_gain_-1pct,True,0.0007078684746879922,0.653518983863942,8.055488262888833,1.0102234675223352,3.1799999999999997,nan
B_hori53_paper,5000rpm_+220Nm,current_gain_-1pct,True,0.0007342138894106811,0.6778416218605482,7.973966673577453,1.000000000000015,2.28,nan
D1_kubota_k1p2_t_type,5000rpm_+220Nm,current_offset_+1Ad_-1Aq,True,0.00014710678103120963,0.13581205760206508,2.6650893137405096,0.3342237838253814,17.81,nan
C_sled23_t_type,5000rpm_+220Nm,current_offset_+1Ad_-1Aq,True,0.00010320866806644291,0.09528440140022075,1.0236877695600621,0.12837873689040732,6.72,nan
A_four_pole_sylvester,5000rpm_+220Nm,current_offset_+1Ad_-1Aq,True,0.00012766448246475786,0.11786252084846499,1.423021892842591,0.17845847005580545,2.78,nan
B_hori53_paper,5000rpm_+220Nm,current_offset_+1Ad_-1Aq,True,0.00013021564832051634,0.12021781053481322,1.4142135623729344,0.17735383407847638,1.7699999999999998,nan
D1_kubota_k1p2_t_type,5000rpm_+220Nm,current_noise_1Arms,True,4.192980091440574e-06,0.0038710469341466007,0.12970823864866862,0.01626646360066588,18.209999999999997,33.72
C_sled23_t_type,5000rpm_+220Nm,current_noise_1Arms,True,6.271235758090524e-06,0.005789736041013805,0.21707734720473798,0.027223257393844996,6.55,9.979999999999999
A_four_pole_sylvester,5000rpm_+220Nm,current_noise_1Arms,True,2.096147503988257e-05,0.01935207225380596,0.29130646832463114,0.03653219034510253,2.75,3.4999999999999996
B_hori53_paper,5000rpm_+220Nm,current_noise_1Arms,True,0.00014231399698085421,0.13138725910563795,1.3961581967378187,0.17508954500200652,1.8699999999999999,nan
D1_kubota_k1p2_t_type,5000rpm_-220Nm,nominal,True,7.545188893539805e-07,0.0006965876225722642,0.04438337629798793,0.0055660348374739705,34.05,71.61999999999999
C_sled23_t_type,5000rpm_-220Nm,nominal,True,9.853229343548264e-16,9.09670745149695e-13,6.366716672615968e-12,7.984378331693832e-13,6.259999999999999,9.43
A_four_pole_sylvester,5000rpm_-220Nm,nominal,True,5.781902056207682e-16,5.337972930973046e-13,8.512517372697824e-13,1.0675386192552123e-13,2.8199999999999994,3.71
B_hori53_paper,5000rpm_-220Nm,nominal,True,2.1136209597516238e-16,1.9513390852718e-13,2.2737367544323206e-13,2.8514500342302815e-14,1.7799999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rs_-20pct,True,0.0022796140972341397,2.1045874222369068,32.53366299310385,4.079984821219267,nan,nan
C_sled23_t_type,5000rpm_-220Nm,rs_-20pct,True,9.36507881025145e-05,0.08646036667445733,3.6180172583516215,0.45372866560131714,6.33,nan
A_four_pole_sylvester,5000rpm_-220Nm,rs_-20pct,True,0.0007093308634693634,0.6548690917788862,0.09374315112866638,0.011756150353536745,2.59,3.75
B_hori53_paper,5000rpm_-220Nm,rs_-20pct,True,0.0007169657712797644,0.6619177983855018,5.262677972112621e-14,6.59982438796881e-15,1.6199999999999999,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rs_-10pct,True,0.0011295727168156462,1.0428451619054928,15.961440067261025,2.001693852088835,nan,nan
C_sled23_t_type,5000rpm_-220Nm,rs_-10pct,True,4.6571043950796594e-05,0.042995362003686435,1.8077223366849553,0.22670302130494868,6.289999999999999,nan
